steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
4,3943.305,0,0.0034192935563623905,4.0990719146479494e-05,0.011933321663262683,10.39560317993164,852.2820434570312,851.87890625,0.0,0.0,0.0,1,256739,-0.0005039846291765571,-0.0033993355464190245,-0.00031863446929492056,-0.6097761392593384,-0.03414073586463928,-0.0002471398620400578,0.0010641072876751423,0,5129.320284704183,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,3339,0.0
5,3943.371,0,0.003565902588889003,4.2748216722979235e-05,0.011950506954840427,10.39558219909668,852.2820434570312,917.0077514648438,4.031999588012695,0.0,0.12000000476837158,1,256743,-0.0019715656526386738,-0.0034365819301456213,0.0030000561382621527,-0.6097549200057983,-0.03432189300656319,-0.0014353784499689937,0.0005405634874477983,0,5129.320284704183,0.0,0.013333334028720856,-0.760000005364418,-1.0,0.1,0.5,-1.0,3339,0.0
6,3943.425,0,0.0038419601041823626,4.605749983799909e-05,0.011978628341082008,10.395547866821289,852.2820434570312,986.986572265625,0.0,0.0,0.24000000953674316,1,256747,0.0007821612525731325,-0.0033089504577219486,0.0013406308135017753,-0.6097794771194458,-0.03449946641921997,-0.0016270161140710115,0.0009898149874061346,0,5129.320284704183,0.0,0.0,-0.5200000107288361,-1.0,-0.1,0.5,-1.0,3339,0.0
7,3943.488,0,0.0042313020676374435,5.07248768164624e-05,0.011993470183815944,10.395529747009277,852.2820434570312,1093.489990234375,4.031999588012695,0.0,0.36000001430511475,1,256751,0.0025722715072333813,-0.0032455632463097572,-0.0016676600789651275,-0.6097702980041504,-0.03467553108930588,-0.0026560132391750813,0.0014937788946554065,0,5129.320284704183,0.0,0.013333334028720856,-0.2800000160932541,-1.0,0.1,0.5,-1.0,3339,0.0
8,3943.542,0,0.003986238967627287,4.778694044705992e-05,0.012023153869285274,10.395493507385254,852.2820434570312,1219.0784912109375,0.0,0.0,0.47999998927116394,1,256755,-0.0012468011118471622,-0.0033674859441816807,-0.0013986950507387519,-0.6097756624221802,-0.03484635800123215,-0.0012458922574296594,0.0011663212208077312,0,5129.320284704183,0.0,0.0,-0.04000002145767212,-1.0,-0.1,0.5,-1.0,3339,0.0
9,3943.605,0,0.004352867137640715,5.218205345911746e-05,0.01202705961742205,10.395488739013672,852.2820434570312,1439.86572265625,4.031999588012695,0.0,0.6000000238418579,1,256759,0.0012227026745676994,-0.0032461865339428186,-0.0014115481171756983,-0.609767735004425,-0.0350147970020771,-0.0026458092033863068,0.0013612705515697598,0,5129.320284704183,0.0,0.013333334028720856,0.19999997317790985,-1.0,0.1,0.5,-1.0,3339,0.0
10,3943.659,0,0.003219910664483905,3.8600101307002985e-05,0.012058305602120584,10.395450592041016,852.2820434570312,1704.890380859375,0.0,0.0,0.7200000286102295,1,256763,6.844870222266763e-05,-0.00321581750176847,-0.0003751220356207341,-0.6097739338874817,-0.035180918872356415,-3.443622699705884e-05,0.0011054169153794646,0,5129.320284704183,0.0,0.0,0.4399999678134918,-1.0,-0.1,0.5,-1.0,3339,0.0
11,3943.722,0,0.003778561018407345,4.529717508063489e-05,0.012056743302891379,10.395452499389648,852.2820434570312,2099.7529296875,4.031999588012695,0.0,0.8400000333786011,1,256767,0.000527768163010478,-0.003248458495363593,-0.0016908171819522977,-0.6097686290740967,-0.035336531698703766,0.0008322226931340992,0.0012330570025369525,0,5129.320284704183,0.0,0.013333334028720856,0.6799999624490738,-1.0,0.1,0.5,-1.0,3339,0.0
12,3943.773,0,0.003952533006668091,4.738258702817731e-05,0.012095800783731575,10.395404815673828,852.2820434570312,2479.041259765625,0.0,0.0,0.9599999785423279,1,256771,-0.00041826468077488244,-0.003230692818760872,-7.720323083049152e-06,-0.609778881072998,-0.03549261391162872,0.0013974588364362717,0.0010005005169659853,0,5129.320284704183,0.0,0.0,0.9199999570846558,-1.0,-0.1,0.5,-1.0,3339,0.0
13,3943.854,0,0.004164954647421837,4.9928982957244246e-05,0.012118454122673848,10.395377159118652,852.2820434570312,3161.453125,4.031999588012695,0.0,1.0,1,256775,-0.002294345758855343,-0.003185637528076768,0.0008234205888584256,-0.6097742915153503,-0.035674549639225006,0.002175843808799982,0.0007010828703641891,0,5129.320284704183,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3339,0.0
14,3943.905,0,0.004117038566619158,4.935449990393084e-05,0.012135639414251593,10.395356178283691,852.2820434570312,3612.811279296875,0.0,0.0,1.0,1,256779,-0.0031729561742395163,-0.003211056347936392,-9.09923473955132e-05,-0.6097840666770935,-0.03581605851650238,-0.001078117755241692,0.0006956130382604897,0,5129.320284704183,0.0,0.0,1.0,-1.0,-0.1,0.5,-1.0,3339,0.0
15,3943.971,0,0.004555630497634411,5.461225557218603e-05,0.0121411074615509,10.395349502563477,852.2820434570312,4216.6064453125,4.031999588012695,0.0,1.0,1,256783,0.0020237709395587444,-0.0029934437479823828,-0.0022192029282450676,-0.6097712516784668,-0.0359685905277729,0.0021753956098109484,0.0013716580579057336,0,5129.320284704183,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3339,0.0
