steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
4,4547.16,0,0.0035826789680868387,4.294292001521474e-05,0.013740444585135105,-16.30263328552246,876.6300659179688,851.899658203125,0.0,0.0,0.0,1,296347,-5.8437854022486135e-05,-0.0035059002693742514,-0.0009260126971639693,-1.0416326522827148,-0.04073537513613701,-2.186906203860417e-05,0.0008893979829736054,0,5165.75963980009,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,3363,0.0
5,4547.226,0,0.005172291770577431,6.199635245543813e-05,0.013755757533976714,-16.302663803100586,876.6300659179688,920.124267578125,4.031999588012695,0.0,0.12000000476837158,1,296351,-0.004005655646324158,-0.0035579318646341562,0.0002255712024634704,-1.0416258573532104,-0.04094787687063217,9.948640217771754e-05,0.00036523217568174005,0,5165.75963980009,0.0,0.013333334028720856,-0.760000005364418,-1.0,0.1,0.5,-1.0,3363,0.0
6,4547.292,0,0.0037662500981241465,4.514315750908022e-05,0.013765328127137268,-16.302682876586914,876.6300659179688,1007.3231201171875,0.0,0.0,0.24000000953674316,1,296355,-0.0015028129564598203,-0.003523603081703186,-0.002670316258445382,-1.0416254997253418,-0.04120874032378197,-0.002341215033084154,0.0008809434366412461,0,5165.75963980009,0.0,0.0,-0.5200000107288361,-1.0,-0.1,0.5,-1.0,3363,0.0
7,4547.358,0,0.004390154965221882,5.262116226633913e-05,0.013825779910798842,-16.302698135375977,876.6300048828125,1118.9354248046875,4.031999588012695,0.0,0.36000001430511475,1,296359,0.0007866721716709435,-0.0035379165783524513,-0.0046554021537303925,-1.0416265726089478,-0.04141348600387573,-0.0009472750825807452,0.001340624876320362,0,5165.75963980009,0.0,0.013333334028720856,-0.2800000160932541,-1.0,0.1,0.5,-1.0,3363,0.0
8,4547.409,0,0.0054485974833369255,6.530804291670969e-05,0.01378829755054808,-16.3027286529541,876.6300659179688,1235.8531494140625,0.0,0.0,0.47999998927116394,1,296363,0.005334234330803156,-0.002741829724982381,0.010839252732694149,-1.0416337251663208,-0.041613202542066574,0.0019734955858439207,0.0006572538986802101,0,5165.75963980009,0.0,0.0,-0.04000002145767212,-1.0,-0.1,0.5,-1.0,3363,0.0
9,4547.475,0,0.004191163927316666,5.0235932771536805e-05,0.013846835215614743,-16.3027400970459,876.6300048828125,1466.8087158203125,4.031999588012695,0.0,0.6000000238418579,1,296367,0.0011038556694984436,-0.0033217607997357845,-0.002714414382353425,-1.0416107177734375,-0.041809774935245514,0.006329388823360205,0.0011268400121480227,0,5165.75963980009,0.0,0.013333334028720856,0.19999997317790985,-1.0,0.1,0.5,-1.0,3363,0.0
10,4547.544,0,0.004386026877909899,5.257149339666847e-05,0.013868847579728099,-16.302783966064453,876.6300048828125,1812.0401611328125,0.0,0.0,0.7200000286102295,1,296371,0.0006270277081057429,-0.003073944943025708,0.0014180284924805164,-1.041648030281067,-0.042049773037433624,0.0016822314355522394,0.0006262214155867696,0,5165.75963980009,0.0,0.0,0.4399999678134918,-1.0,-0.1,0.5,-1.0,3363,0.0
11,4547.61,0,0.004459939897060394,5.345742453807766e-05,0.013868847579728099,-16.302783966064453,876.6300048828125,2235.13134765625,4.031999588012695,0.0,0.8400000333786011,1,296375,0.00019983155652880669,-0.0033124021720141172,-0.0040118079632520676,-1.041619896888733,-0.04223905876278877,-0.00027777778450399637,0.0010285746539011598,0,5165.75963980009,0.0,0.013333334028720856,0.6799999624490738,-1.0,0.1,0.5,-1.0,3363,0.0
12,4547.676,0,0.0031260084360837936,3.746868127941236e-05,0.013889902884445658,-16.302825927734375,876.6300048828125,2748.781494140625,0.0,0.0,0.9599999785423279,1,296379,-0.00044762916513718665,-0.0030920016579329967,-0.00032450552680529654,-1.0416510105133057,-0.042459528893232346,-0.00012976473954040557,0.0006964466301724315,0,5165.75963980009,0.0,0.0,0.9199999570846558,-1.0,-0.1,0.5,-1.0,3363,0.0
13,4547.742,0,0.004658290650695562,5.58345252929243e-05,0.013945569371623515,-16.302831649780273,876.6299438476562,3314.54345703125,4.031999588012695,0.0,1.0,1,296383,0.0006581448833458126,-0.0032635077368468046,-0.0043778386898338795,-1.0416289567947388,-0.04263917729258537,-0.0010811693500727415,0.001153577584773302,0,5165.75963980009,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3363,0.0
