steps,currentTime,done,speed,reward,gap,world_position_y,world_position_x,RPM,steerAngle,brakeStatus,accStatus,actualGear,packetId,velocity_x,velocity_y,velocity_z,yaw,roll,angular_velocity_y,angular_velocity_x,LapCount,LapDist,going_backwards,current_action_abs_0,current_action_abs_1,current_action_abs_2,actions_0,actions_1,actions_2,rl_point,out_of_track
4,3928.524,0,0.00322829931974411,3.8729743682217975e-05,-0.0030505705128126477,28.51897430419922,808.6107177734375,851.9503784179688,0.0,0.0,0.0,1,255755,-0.00027167456573806703,-0.003200853243470192,0.00021071553055662662,-0.2069339007139206,-0.012891323305666447,-5.780311403214e-05,0.0012325412826612592,0,5081.701507635502,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,3308,0.0
5,3928.59,0,0.0034918340388685465,4.189135638046795e-05,-0.0030505705128126477,28.51897430419922,808.6107177734375,917.07861328125,4.031999588012695,0.0,0.12000000476837158,1,255759,-0.000746013771276921,-0.0031568463891744614,0.003905755002051592,-0.20692354440689087,-0.0129421167075634,-0.0013296601828187704,0.0007010082481428981,0,5081.701507635502,0.0,0.013333334028720856,-0.760000005364418,-1.0,0.1,0.5,-1.0,3308,0.0
6,3928.656,0,0.003915353212505579,4.697231909973684e-05,-0.003044284814979081,28.51895523071289,808.6107788085938,1004.2608032226562,0.0,0.0,0.24000000953674316,1,255763,0.001266378560103476,-0.0031017675064504147,0.00036188928061164916,-0.20693129301071167,-0.01302992645651102,0.00046154545270837843,0.001229958375915885,0,5081.70288060719,0.0,0.0,-0.5200000107288361,-1.0,-0.1,0.5,-1.0,3308,0.0
7,3928.71,0,0.004587224684655666,5.5032774233657435e-05,-0.003034946654592806,28.518945693969727,808.6107788085938,1094.1513671875,4.031999588012695,0.0,0.36000001430511475,1,255767,-0.00040200137300416827,-0.003090381156653166,0.0003547208325471729,-0.2069263607263565,-0.013074873946607113,-0.0023701984900981188,0.001198706217110157,0,5081.70288060719,0.0,0.013333334028720856,-0.2800000160932541,-1.0,0.1,0.5,-1.0,3308,0.0
8,3928.773,0,0.0031225753482431173,3.7461462320241876e-05,-0.0030237408621207394,28.51893424987793,808.6107788085938,1245.173583984375,0.0,0.0,0.47999998927116394,1,255771,-9.256396879209206e-05,-0.003045962657779455,-0.00029432770679704845,-0.20693348348140717,-0.013159367255866528,-0.00011569879279704764,0.001238198485225439,0,5081.70288060719,0.0,0.0,-0.04000002145767212,-1.0,-0.1,0.5,-1.0,3308,0.0
9,3928.839,0,0.0048738750629127026,5.847179983018943e-05,-0.003016270333820255,28.5189266204834,808.6107788085938,1460.062744140625,4.031999588012695,0.0,0.6000000238418579,1,255775,-0.0003672237799037248,-0.0030253352597355843,0.0037510462570935488,-0.2069202959537506,-0.013216688297688961,2.191123530792538e-05,0.0006216136389411986,0,5081.70288060719,0.0,0.013333334028720856,0.19999997317790985,-1.0,0.1,0.5,-1.0,3308,0.0
10,3928.887,0,0.003872053697705269,4.6453015832765706e-05,-0.003003196909281998,28.51891326904297,808.6107788085938,1694.180419921875,0.0,0.0,0.7200000286102295,1,255779,-0.0004300491709727794,-0.00300131319090724,0.002417859621345997,-0.20693360269069672,-0.013275888748466969,0.000278102932497859,0.0008243363699875772,0,5081.70288060719,0.0,0.0,0.4399999678134918,-1.0,-0.1,0.5,-1.0,3308,0.0
11,3928.956,0,0.004301398992538452,5.1603869962301444e-05,-0.003003196909281998,28.51891326904297,808.6107788085938,2123.358642578125,4.031999588012695,0.0,0.8400000333786011,1,255783,0.0006296217325143516,-0.0029411332216113806,-0.0022026081569492817,-0.2069205343723297,-0.013327185995876789,-0.00029857203480787575,0.0014882065588608384,0,5081.70288060719,0.0,0.013333334028720856,0.6799999624490738,-1.0,0.1,0.5,-1.0,3308,0.0
12,3929.022,0,0.002976672723889351,3.571116298147209e-05,-0.00299317594729645,28.518890380859375,808.61083984375,2625.764892578125,0.0,0.0,0.9599999785423279,1,255787,-0.00012695071927737445,-0.0029077045619487762,0.00022554000315722078,-0.2069355696439743,-0.01340973749756813,-4.4854245061287656e-05,0.0011150605278089643,0,5081.70288060719,0.0,0.0,0.9199999570846558,-1.0,-0.1,0.5,-1.0,3308,0.0
13,3929.07,0,0.00399608351290226,4.794105610020048e-05,-0.0029894406831248678,28.51888656616211,808.61083984375,3028.99462890625,4.031999588012695,0.0,1.0,1,255791,-0.000324036373058334,-0.002865023445338011,0.002913661766797304,-0.2069195955991745,-0.01344209536910057,-5.1888560847146437e-05,0.0007465809467248619,0,5081.70288060719,0.0,0.013333334028720856,1.0,-1.0,0.1,0.5,-1.0,3308,0.0
